Date,S&P 500,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
9/30/2014,1972.29,161.13,528.9,465.07,661.05,312.29,739.96,458.11,659.92,312.57,166.52,213.99
10/1/2014,1946.16,159.54,522.21,462.28,648.71,308.62,732.34,449.5,649.07,305.4,166.47,215.14
10/2/2014,1946.17,159.41,524.21,462.89,646.25,309.17,730.71,448.98,649.33,304.6,166.49,214.89
10/3/2014,1967.9,160.96,531.08,468.1,646.26,313.66,745.09,455.08,654.33,305.54,167.68,216.22
10/6/2014,1964.82,161.62,528.11,468.42,647.09,313.18,742.18,453.58,654.23,305.32,167.87,216.2
10/7/2014,1935.1,160.48,520.4,466.13,638.48,307.44,730.43,442.85,643.4,299.99,166.53,215.98
10/8/2014,1968.89,160.64,528.53,472.73,644.91,313.01,748.81,450.67,656.11,303.91,169.92,220.79
10/9/2014,1928.21,157.76,516.55,468.32,621.04,306.56,733.93,440.24,645.16,296.18,169.72,217.15
10/10/2014,1906.13,156.78,512.05,470.65,613.73,304.06,728.62,433.74,627.18,291.68,169.98,218.25
10/13/2014,1874.74,154.8,501.51,464.14,596.21,301.38,711.21,427.02,619.36,284.05,169.39,218.05
10/14/2014,1877.7,154.76,504.85,463.82,588.9,302.82,705.81,432.59,621.11,284.99,172.14,220.16
10/15/2014,1862.49,154.3,500.86,458.18,591.42,296.79,700.15,431.87,616.46,286.86,170.75,217.23
10/16/2014,1862.76,153.47,501.64,454.85,601.39,296.76,696.64,434.97,612.98,289.73,170.9,217.3
10/17/2014,1886.76,155.09,507.04,460.04,606.9,300.62,707.88,443.53,620.32,293.66,172.17,218.58
10/20/2014,1904.01,156.25,514.11,466.66,611.51,302.44,716.35,444.88,624.47,297.84,174.43,221.63
10/21/2014,1941.28,157.38,523.8,468.45,629.4,308.1,735.36,454.66,637.96,304.46,176.37,222.45
10/22/2014,1927.11,156.66,519.37,469.05,618.97,305.36,731.34,448.62,634.44,301.84,175.94,223.86
10/23/2014,1950.82,154.84,526.73,468.71,630.02,308.34,744.13,458.41,644.14,301.91,177.26,224.29
10/24/2014,1964.58,156.11,526.19,472.55,628.23,311.13,754.42,462.52,649.34,303.85,177.39,226.44
10/27/2014,1961.63,157.7,527.15,473.72,615.48,311.56,755.35,462.36,649.59,297.6,178.31,225.96
10/28/2014,1985.05,159.2,532.93,475.58,629.44,315.09,760.91,470.21,658.82,300.37,178.8,227.56
10/29/2014,1982.3,159.15,531.19,475.02,630.45,315.7,761.13,468.2,657.74,296.6,177.97,226.17
10/30/2014,1994.65,159.6,534.7,477.65,628.5,317.26,774.91,469.99,659.28,298.78,179.75,230.84
10/31/2014,2018.05,160.83,539.95,480.9,641.32,321.2,778.85,474.83,670.87,304.39,181.23,230.93
11/3/2014,2017.81,161.12,540.05,482.61,630.16,322.21,779.04,473.8,673.55,302.05,182.85,232.53
11/4/2014,2012.1,160.78,533.28,485.21,617.99,322.52,779.72,474.04,673.86,298.92,183,231.15
11/5/2014,2023.57,161.12,535.5,488.78,628.79,324.54,778.22,476.68,675.64,301.76,182.84,236.5
11/6/2014,2031.21,159.78,540.19,489.76,636.84,324.78,782.64,481.92,675.17,304.24,181.67,232.24
11/7/2014,2031.92,161.07,539.15,491.08,642.8,324.95,775.27,482.39,674.94,305.78,181.52,234.58
11/10/2014,2038.26,161.4,538.76,493.18,637.45,326.57,783,484.71,676.73,306.58,182.81,235.78
11/11/2014,2039.68,161.24,540.85,492.3,639.12,325.83,785.77,484.09,677.36,308,182.2,234.95
11/12/2014,2038.25,162.46,543.62,492.37,633.21,325.01,784.56,484.55,678.96,308.58,181.2,230.18
11/13/2014,2039.33,163.66,546.93,494.67,624.69,324.85,783.78,483.27,683,308.45,182.22,228.3
11/14/2014,2039.82,164.71,548.99,491.62,629.88,323.7,777.26,483.59,687.21,309.43,180.99,227.44
11/17/2014,2041.32,164.44,548.4,494.65,627.15,323.77,781.08,483.09,686.04,309.38,181.81,230.5
11/18/2014,2051.8,164.07,549.17,496.48,627.42,324.56,793.4,486.72,688.66,312.85,182.88,231.11
11/19/2014,2048.72,162.33,551.62,498.66,630.93,323.97,789.19,485.32,684.23,312.49,181.87,230.96
11/20/2014,2052.75,161.59,553.94,496.39,637.82,324.15,786.07,486.2,688.62,314.01,182.35,230.42
11/21/2014,2063.5,161.76,555.21,498.6,645.6,325.89,789.16,490.96,690.07,317.97,183.95,231.3
11/24/2014,2069.41,159.49,560.44,498.07,640.88,327.86,792.85,492.26,694.91,316.4,184.37,229.25
11/25/2014,2067.03,159.24,561.75,498.76,630.62,327.2,793.4,493.04,695.36,315.25,184.98,229
11/26/2014,2072.83,161.2,561.91,500.41,623.65,327.84,798.98,492.31,701.58,315.69,186.35,230.16
11/28/2014,2067.56,162.61,568.46,506.5,584.58,328,803.65,488.1,704.2,308.03,187.08,232.61
12/1/2014,2053.44,161.03,562.29,503.4,588.74,325.64,802.07,481.79,696.4,304.9,186.96,233
12/2/2014,2066.55,158.13,564.3,505.24,596.58,328.82,810.91,485.55,698.19,306.63,187.31,234.6
12/3/2014,2074.33,156.87,565.37,501.21,603.53,330.2,812.13,491.82,701.39,311.05,186.88,233.94
12/4/2014,2071.92,156.6,564.72,500.74,598.67,330.53,811.12,489.58,702.13,312.01,187.1,233.74
12/5/2014,2075.37,156.32,566.16,501.44,591.53,333.79,817.34,490.41,701,311.67,185.8,231.8
12/8/2014,2060.31,156.45,561.38,500.29,568.43,335.07,820.02,485.02,692.45,306.62,187.17,233.45
12/9/2014,2059.82,151.42,560.56,498.72,573.29,334.25,816.93,485.45,695.71,307.4,187.85,234.6
12/10/2014,2026.14,149.24,552.6,493.77,555.63,329.75,803.98,476.27,684.33,300.86,187.68,231.76
12/11/2014,2035.33,150.12,556.48,497.66,555.82,330.84,806.11,478.48,687.79,301.08,187.52,234.08
12/12/2014,2002.33,147.3,553.03,491.4,543.9,324.06,792.98,469.54,677.04,292.3,185.79,231.84
12/15/2014,1989.63,147.27,549.81,488.17,540.03,321.31,786.89,468.39,673.03,290.71,184.18,229.77
12/16/2014,1972.74,147.32,541.12,486,543.79,318.1,776.88,468.37,663.13,288.72,183.05,229.34
12/17/2014,2012.89,150.05,551.53,492.95,566.75,325.34,791.66,472.61,675.85,296.72,186.67,233.78
12/18/2014,2061.23,152.81,560.29,502.92,578.79,333.23,813.6,484.28,696.38,303.42,188.51,238.35
12/19/2014,2070.65,152.85,562.31,501.89,596.85,333.32,816.95,486.85,697.01,306.92,188.8,238.38
12/22/2014,2078.54,154.41,567.62,505.81,591.01,335.37,807.53,491.29,704.56,307.07,191.79,239.16
12/23/2014,2082.17,155.01,570.96,509.6,598.44,337.32,789.74,493.5,706.51,309.51,191.2,239.84
12/24/2014,2081.88,154.9,569.91,508.72,593.6,336.65,794.98,493.76,705.84,308.62,190.2,244.17
12/26/2014,2088.77,155.71,573.11,509.71,593.19,336.64,801.01,493.78,708.74,309.65,190.76,247.12
12/29/2014,2090.57,155.05,576.97,507.87,594.76,337.84,803.07,493.85,705.27,308.98,191.35,249.87
12/30/2014,2080.35,154.45,574.79,505.77,591.05,337.41,799.8,491.51,700.34,308.37,190.83,244.65
12/31/2014,2058.9,152.55,572.75,499.58,586.59,333.32,791.97,486.47,691.95,305.28,187.89,240.14
1/2/2015,2058.2,153.35,568.61,497.83,589.12,333.41,795.07,485.74,690.92,305.82,190.51,241.51
1/5/2015,2020.58,151.8,557.31,494,565.6,326.43,790.22,474.47,678.72,297.64,190.88,238.35
1/6/2015,2002.61,152.33,552.05,493.93,558.19,321.43,788.11,468.85,670.42,295.56,192.93,238.64
1/7/2015,2025.9,150.28,560.5,502.55,560.09,324.98,806,471.71,676.22,298.52,195.85,240.97
1/8/2015,2062.14,152.6,568.83,510.15,572.44,329.77,819.86,481.11,691.58,305.6,196.84,242.67
1/9/2015,2044.81,151.59,562.34,506.05,567.92,325.36,813.23,475.87,689.64,304.07,197.13,241.09
1/12/2015,2028.26,152.44,559.68,504.31,552,322.6,812.68,472.73,680.37,303.13,198.13,240.45
1/13/2015,2023.03,152.62,559.02,504.24,547.99,321.51,808.73,471.81,679.93,299.61,197.56,241.21
1/14/2015,2011.27,151.98,552.58,502.91,548.68,316.95,807.94,469.11,676.32,296.05,198.7,243.49
1/15/2015,1992.67,151.97,545.68,503.66,542.06,312.9,799.29,466.42,666.43,295.67,199.2,245.23
1/16/2015,2019.42,154.48,552.84,507.61,559.36,316.65,814.62,469.58,672.52,300.55,200.67,247.4
1/20/2015,2022.55,155.16,549.29,509.43,559.9,315.43,814.01,473.22,678.03,300.87,199.37,247.96
1/21/2015,2032.12,155.44,552.69,510.95,570.15,316.04,814.9,476.64,679.02,303.83,198.73,250.41
1/22/2015,2063.15,154.58,563.19,516.45,573.44,323.78,825.25,484.4,692.29,307.79,202.79,249.31
1/23/2015,2051.82,152.74,562.29,510.96,568.28,320.51,821.35,480.63,693.44,302.87,202.79,250.15
1/26/2015,2057.09,152.08,565.52,510.87,576.18,322.03,825.01,481.42,690.41,304.29,204.34,250.04
1/27/2015,2029.55,150.35,561.07,504.61,575.18,318.51,818.8,475.19,667.81,302.02,203.99,250.46
1/28/2015,2002.16,149.46,553.54,498.82,552.91,312.25,806.85,470.7,667.37,296.59,202.33,248.1
1/29/2015,2021.25,149.95,560.84,502.68,553.86,315.12,813.74,476.26,674.56,300.58,202.48,251.4
1/30/2015,1994.99,149.13,554.79,493.24,557.95,310.01,801.26,468.53,664.92,299.22,198.78,245.77
