ACCESSION_NUMBER,FILING_DATE,PERIOD_OF_REPORT,ISSUERCIK,ISSUERNAME,ISSUERTRADINGSYMBOL,GICS_SECTOR,GICS_SUB_INDUSTRY,OWNER_CIK,OWNER_NAME,OWNER_RELATIONSHIP,SECURITY_TITLE,TRANS_DATE,TRANS_SHARES,TRANS_PRICEPERSHARE,DIRECT_INDIRECT_OWNERSHIP,SHARES_OWNED_FOLLOWING_TRANSACTION,6 Month Price,1 Year Price,18 Month Price,Market Cap
0001140361-14-014863,3/31/2014,3/28/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-28 00:00:00+00:00,37837,302.1,I,19798523,358.17999267578125,454.5,490.6700134277344,82952568832
0001140361-14-014863,3/31/2014,3/28/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-28 00:00:00+00:00,10352,307.32,I,19877861,358.17999267578125,454.5,490.6700134277344,82952568832
0001140361-14-014863,3/31/2014,3/28/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-28 00:00:00+00:00,9278,314.38,I,20011697,358.17999267578125,454.5,490.6700134277344,82952568832
0001140361-14-014863,3/31/2014,3/28/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-28 00:00:00+00:00,7481,313.42,I,20002419,358.17999267578125,454.5,490.6700134277344,82952568832
0001140361-14-014863,3/31/2014,3/28/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-28 00:00:00+00:00,12670,312.31,I,19994938,358.17999267578125,454.5,490.6700134277344,82952568832
0001140361-14-014863,3/31/2014,3/28/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-28 00:00:00+00:00,33203,311.19,I,19982268,358.17999267578125,454.5,490.6700134277344,82952568832
0001140361-14-014863,3/31/2014,3/28/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-28 00:00:00+00:00,33102,310.35,I,19949065,358.17999267578125,454.5,490.6700134277344,82952568832
0001140361-14-014863,3/31/2014,3/28/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-28 00:00:00+00:00,25893,309.19,I,19915963,358.17999267578125,454.5,490.6700134277344,82952568832
0001140361-14-014863,3/31/2014,3/28/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-28 00:00:00+00:00,6393,315.33,I,20018090,358.17999267578125,454.5,490.6700134277344,82952568832
0001140361-14-014863,3/31/2014,3/28/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-28 00:00:00+00:00,30467,301.32,I,19760686,358.17999267578125,454.5,490.6700134277344,82952568832
0001140361-14-014863,3/31/2014,3/28/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-28 00:00:00+00:00,19074,300.28,I,19730219,358.17999267578125,454.5,490.6700134277344,82952568832
0001140361-14-014863,3/31/2014,3/28/2014,872589,REGENERON PHARMACEUTICALS INC,REGN,Health Care,Biotechnology,1121404,Sanofi,TenPercentOwner,Common Stock,2014-03-28 00:00:00+00:00,12209,308.1,I,19890070,358.17999267578125,454.5,490.6700134277344,82952568832
