OWNER_CIK,OWNER_NAME,Weighted_Return_6M,Weighted_Return_1Y,Weighted_Return_18M,Weighted_SP500_6M,Weighted_SP500_1Y,Weighted_SP500_18M,Weighted_Sector_6M,Weighted_Sector_1Y,Weighted_Sector_18M,Return_vs_SP500_6M,Return_vs_SP500_1Y,Return_vs_SP500_18M,Return_vs_Sector_6M,Return_vs_Sector_1Y,Return_vs_Sector_18M,Pct_Positive_vs_SP500_6M,Pct_Positive_vs_SP500_1Y,Pct_Positive_vs_Sector_6M,Transaction_Count,Min_Transaction_Value,Avg_Transaction_Value,Total_Transaction_Value,Avg_Days_Between_Transactions,Number_of_Companies,Earliest_Transaction_Year,Most_Recent_Transaction_Year,Unique_Transaction_Years,Most_Common_Company,Most_Active_Sector,Most_Common_Company_Cap_Category,0
67088,MITSUBISHI UFJ FINANCIAL GROUP INC,20.053286228524563,18.16728273760011,13.954451637909093,0.07706055020369644,0.06250191217082567,0.08631069455500548,0.06528672636584916,0.019389968210898553,-0.001802068253121375,19.976225678320866,18.104780825429284,13.868140943354089,19.987999502158715,18.147892769389212,13.956253706162215,0.2682926829268293,0.36585365853658536,0.24390243902439024,41.0,0.33,20124.936829268292,825122.41,42.0,1.0,2014.0,2020.0,7.0,MS,Financials,Mega Cap,
225602,MASSACHUSETTS MUTUAL LIFE INSURANCE CO,-0.14972542893211907,-0.1367867875574204,-0.18801855578574875,-0.03933188312815763,0.003381203202737648,0.10809859757095439,-0.040399213364683065,-0.0023527279128404757,0.007036940744327761,-0.11039354580396143,-0.14016799076015807,-0.29611715335670313,-0.109326215567436,-0.13443405964457994,-0.1950554965300765,0.2857142857142857,0.0,0.0,7.0,198269.3,15020427.64,105142993.48,37.0,1.0,2021.0,2022.0,2.0,IVZ,Financials,Mid Cap,
314943,NATIONAL INDEMNITY CO,-0.23077658196666315,-0.22412550414689794,-0.07628483002920959,0.08311436826765502,0.15322174824459217,0.2644587822251031,0.056464672044235796,-0.04561758766235289,-0.0015031396652489565,-0.3138909502343182,-0.37734725239149014,-0.3407436122543127,-0.28724125401089895,-0.17850791648454506,-0.07478169036396064,0.0,0.0,0.0,19.0,202434.4,15188121.112105265,288574301.13000005,6.0,1.0,2016.0,2016.0,1.0,PSX,Energy,Large Cap,
315027,SAROFIM FAYEZ,-0.5579816213563111,-0.5247975349712322,-0.5110481825866441,-0.021689799034712177,0.10563493578381918,0.16280806042592644,-0.158132413492215,-0.06163744444141466,0.026565047855370436,-0.536291822321599,-0.6304324707550514,-0.6738562430125705,-0.39984920786409617,-0.4631600905298175,-0.5376132304420145,0.0,0.0,0.0,5.0,3552000.0,7334600.0,36673000.0,395.0,1.0,2015.0,2019.0,3.0,KMI,Energy,Large Cap,
315090,BUFFETT WARREN E,0.08747182515518723,0.05972531574719618,0.10596944648524721,0.02655042593101514,0.09290201134348938,0.1639065578114649,0.12789608378921735,0.17590449752805604,0.20874230871219385,0.060921399224172085,-0.0331766955962932,-0.05793711132621769,-0.040424258634030125,-0.11617918178085986,-0.10277286222694663,0.36046511627906974,0.2054263565891473,0.2054263565891473,258.0,7751.0,65903070.41019381,17002992165.830002,13.0,6.0,2014.0,2024.0,8.0,OXY,Energy,Large Cap,
900596,FRIST THOMAS F JR,-0.057755961081717586,0.19594593081117212,0.3411695993568138,0.027266740842449233,0.05908826777141084,0.0907250820560595,0.058647898066651306,0.05709038697541574,0.09685348890032633,-0.08502270192416682,0.13685766303976127,0.2504445173007543,-0.1164038591483689,0.13885554383575638,0.24431611045648746,0.5714285714285714,0.6428571428571429,0.14285714285714285,14.0,147665.7,3698519.408571428,51779271.71999999,140.0,1.0,2017.0,2022.0,3.0,HCA,Health Care,Large Cap,
901430,ABELE JOHN E,0.0035751656784094865,0.3951354493663527,0.4772340425531915,-0.07870131380072086,0.061411463783281016,0.13937681664922683,-0.12062318335077316,-0.00451110336007441,-0.014566910824322755,0.08227647947913035,0.3337239855830717,0.3378572259039647,0.12419834902918264,0.39964655272642713,0.4918009533775143,1.0,1.0,1.0,5.0,1653000.0,1720200.0,8601000.0,1.0,1.0,2015.0,2015.0,1.0,BSX,Health Care,Large Cap,
901737,SCHULTZ HOWARD D,0.24997028119938486,0.43249497973842516,0.40582038805826115,-0.04333729584008202,0.036662704159917986,0.10666270415991798,-0.09000594376012304,-0.0033372958400820197,0.09999405623987698,0.29330757703946686,0.3958322755785072,0.2991576838983432,0.3399762249595079,0.4358322755785072,0.30582633181838415,1.0,1.0,1.0,3.0,1235390.0,4994593.666666667,14983781.0,1.0,1.0,2022.0,2022.0,1.0,SBUX,Consumer Discretionary,Large Cap,
901999,ELLISON LAWRENCE JOSEPH,3.6000000000000004e+32,9.07e+32,7.97e+32,0.0,0.16,0.32,0.14,0.31,0.39,3.6000000000000004e+32,9.07e+32,7.97e+32,3.6000000000000004e+32,9.07e+32,7.97e+32,1.0,1.0,1.0,1.0,958750.0,958750.0,958750.0,0.0,1.0,2020.0,2020.0,1.0,TSLA,Consumer Discretionary,Mega Cap,
902012,GATES WILLIAM H III,0.050288283233776085,0.12005663868893428,0.29710717888172256,0.027011149603888212,0.013420827876823332,0.09043770924793186,0.009043724714854835,-0.014384766859722715,0.02638864609578779,0.023277133629887873,0.10663581081211095,0.20666946963379068,0.041244558518921254,0.134441405548657,0.2707185327859348,0.5,0.6896551724137931,0.5,58.0,14355.6,11017058.328793103,638989383.0699999,50.0,2.0,2014.0,2022.0,7.0,ECL,Materials,Large Cap,
902132,STARKS DANIEL J,-0.020000000000000007,0.14552835548913817,0.2500000000000001,0.060000000000000005,0.020000000000000007,0.05000000000000002,0.08000000000000003,0.07000000000000003,0.05000000000000002,-0.08000000000000002,0.12552835548913815,0.2000000000000001,-0.10000000000000003,0.07552835548913814,0.2000000000000001,0.0,1.0,0.0,60.0,848.54,70825.65766666665,4249539.459999999,0.0,1.0,2018.0,2018.0,1.0,ABT,Health Care,Mega Cap,
903649,DECHERD ROBERT W,-0.1552192880265317,-0.13033903262426816,-0.09060667952270711,0.16499353066859673,0.250286236931207,0.19909662355431512,0.07991884831028997,0.08783696293395334,0.1322188567377715,-0.3202128186951284,-0.38062526955547515,-0.28970330307702225,-0.23513813633682168,-0.21817599555822148,-0.22282553626047863,0.0,0.0,0.0,4.0,183315.0,252151.25,1008605.0,487.0,1.0,2016.0,2020.0,4.0,KMB,Consumer Staples,Large Cap,
904396,WYNN STEPHEN A,0.46075720328258996,0.4710308362453681,1.0168297799509756,0.07797326272794708,0.13679968132987935,0.23892033478540073,0.051892552944190005,0.09525946746628676,0.2010651038208447,0.3827839405546429,0.33423115491548877,0.7779094451655748,0.40886465033839997,0.37577136877908135,0.8157646761301309,1.0,1.0,1.0,20.0,374638.36,5538362.3544999985,110767247.08999997,3.0,1.0,2015.0,2016.0,2.0,WYNN,Consumer Discretionary,Large Cap,
904858,STANTON JOHN W,-0.19,-0.19,-0.01,-0.01,0.04,0.15,0.09,0.06,0.12,-0.18,-0.23,-0.16,-0.28,-0.25,-0.13,0.0,0.0,0.0,1.0,1554000.0,1554000.0,1554000.0,0.0,1.0,2015.0,2015.0,1.0,COST,Consumer Staples,Mega Cap,
905129,NEUBAUER JOSEPH,0.03,-0.15,-0.03,-0.01,-0.11,0.04,0.01,0.01,0.11,0.04,-0.039999999999999994,-0.07,0.019999999999999997,-0.16,-0.14,1.0,0.0,1.0,1.0,927250.0,927250.0,927250.0,0.0,1.0,2015.0,2015.0,1.0,MDLZ,Consumer Staples,Large Cap,
905437,YOUNG WALTER R JR,0.55,0.04,0.43,0.02,0.09,0.18,0.18,0.11,0.27,0.53,-0.049999999999999996,0.25,0.37000000000000005,-0.07,0.15999999999999998,1.0,0.0,1.0,1.0,28876.8,28876.8,28876.8,0.0,1.0,2015.0,2015.0,1.0,NRG,Utilities,Large Cap,
908551,HERSHEY TRUST CO,-0.06883189456220801,-0.013131340295634526,0.027292785750116944,0.058652014138305425,0.11447623619631193,0.17429944573342654,0.09295145987173194,0.0638078645287116,0.0958242220580065,-0.12748390870051343,-0.12760757649194646,-0.14700665998330958,-0.16178335443393993,-0.07693920482434612,-0.06853143630788956,0.0,0.3333333333333333,0.0,3.0,5000020.0,8651673.333333334,25955020.0,540.0,1.0,2015.0,2018.0,3.0,HSY,Consumer Staples,Large Cap,
908724,DELL MICHAEL S,6802.755643131114,9068.130303852493,10298.837724526646,0.4383049826512142,0.6593998939977,0.8827197282565293,0.5835874855426786,0.7810598111271148,1.137134473861844,6802.317338148463,9067.470903958496,10297.955004798388,6802.172055645571,9067.349244041367,10297.700590052784,1.0,1.0,1.0,13.0,22576.79,2019516.416153846,26253713.41,0.0,1.0,2020.0,2020.0,1.0,DELL,Information Technology,Large Cap,
909019,SMITH WILLIAM G JR,-0.31,-0.2,-0.21,0.01,-0.02,0.0,0.0,0.13,0.09,-0.32,-0.18000000000000002,-0.21,-0.31,-0.33,-0.3,0.0,0.0,0.0,1.0,4430.0,4430.0,4430.0,0.0,1.0,2015.0,2015.0,1.0,SO,Utilities,Large Cap,
913264,NATIONAL AMUSEMENTS INC /MD/,-0.47,-0.55,-0.61,-0.03,0.02,0.1,-0.18,0.02,0.17,-0.43999999999999995,-0.5700000000000001,-0.71,-0.29,-0.5700000000000001,-0.78,0.0,0.0,0.0,1.0,20935750.68,20935750.68,20935750.68,0.0,1.0,2022.0,2022.0,1.0,PARA,Communication Services,Mid Cap,
914545,NEWHOUSE BROADCASTING CORP,-0.42,-0.16,-0.16,0.14,0.0,0.0,0.29,0.0,0.0,-0.56,-0.16,-0.16,-0.71,-0.16,-0.16,0.0,0.0,0.0,1.0,124900000.0,124900000.0,124900000.0,0.0,1.0,2023.0,2023.0,1.0,WBD,Communication Services,Large Cap,
914546,"ADVANCE PUBLICATIONS, INC",-0.42,-0.16,-0.16,0.14,0.0,0.0,0.29,0.0,0.0,-0.56,-0.16,-0.16,-0.71,-0.16,-0.16,0.0,0.0,0.0,1.0,124900000.0,124900000.0,124900000.0,0.0,1.0,2023.0,2023.0,1.0,WBD,Communication Services,Large Cap,
916867,SPOGLI RONALD P,-0.28,-0.19,-0.18,0.14,0.15,0.09,-0.02,0.03,0.05,-0.42000000000000004,-0.33999999999999997,-0.27,-0.26,-0.22,-0.22999999999999998,0.0,0.0,0.0,1.0,401180.0,401180.0,401180.0,0.0,1.0,2017.0,2017.0,1.0,PSA,Real Estate,Large Cap,
928264,MAY PETER W,-0.17,-0.08,0.13,0.04,-0.02,0.07,-0.01,-0.01,0.12,-0.21000000000000002,-0.06,0.06,-0.16,-0.07,0.010000000000000009,0.0,0.0,0.0,1.0,45536122.0,45536122.0,45536122.0,0.0,1.0,2018.0,2018.0,1.0,MDLZ,Consumer Staples,Large Cap,
928265,PELTZ NELSON,0.024141133922645133,0.12888621925825552,0.11053976912997365,0.07684101101191854,0.14480197576710907,0.23034932753542836,0.01748746002263451,0.06377211760427179,0.10778762619354107,-0.0526998770892734,-0.015915756508853546,-0.11980955840545471,0.006653673900010624,0.06511410165398374,0.0027521429364325833,0.4,0.4,0.3333333333333333,15.0,48900.0,12293861.637333333,184407924.56,136.0,2.0,2015.0,2020.0,4.0,SYY,Consumer Staples,Large Cap,
929607,CONTINENTAL GRAIN CO,-0.2674334222821025,-0.24273041976785262,-0.34695977436394443,0.07056470886986778,0.12135821348703243,0.09319862308667401,0.029687331589958683,0.07188408656804933,0.0366949359296533,-0.33799813115197025,-0.36408863325488505,-0.44015839745061847,-0.29712075387206116,-0.31461450633590193,-0.3836547102935977,0.0,0.0,0.0,18.0,758550.0,4265954.145555556,76787174.62,17.0,1.0,2018.0,2019.0,2.0,BG,Consumer Staples,Large Cap,
938543,HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL,-0.06883189456220801,-0.013131340295634526,0.027292785750116944,0.058652014138305425,0.11447623619631193,0.17429944573342654,0.09295145987173194,0.0638078645287116,0.0958242220580065,-0.12748390870051343,-0.12760757649194646,-0.14700665998330958,-0.16178335443393993,-0.07693920482434612,-0.06853143630788956,0.0,0.3333333333333333,0.0,3.0,5000020.0,8651673.333333334,25955020.0,540.0,1.0,2015.0,2018.0,3.0,HSY,Consumer Staples,Large Cap,
938885,ROGERS JOHN W JR,0.12343811005273957,0.14008285871875753,0.17296221468898543,0.053929994608295784,0.23959326718683185,0.3445662157053526,0.04079437775395236,0.3026791192310314,0.41020928488649533,0.06950811544444378,-0.09951040846807432,-0.1716040010163672,0.08264373229878721,-0.16259626051227388,-0.2372470701975099,0.6,0.0,0.2,5.0,78610.0,322718.0,1613590.0,469.0,3.0,2017.0,2022.0,4.0,NKE,Consumer Discretionary,Large Cap,
939485,FLORES JAMES C,-0.18229757644525912,-0.2685845625672806,-0.06175339675889558,0.02477611940298508,0.07728026533996683,0.1607413226266329,0.022568444328067268,0.07214308574088621,0.15727735591050596,-0.2070736958482442,-0.34586482790724743,-0.22249471938552848,-0.20486602077332638,-0.3407276483081668,-0.21903075266940153,0.0,0.0,0.0,6.0,408400.0,5728500.0,34371000.0,53.0,1.0,2014.0,2015.0,2.0,FCX,Materials,Large Cap,
940314,COOPER MILTON,-0.411113990836303,-0.37562178923497014,-0.312279816726061,0.04111399083630305,0.0355958717082427,0.07670986254454575,-0.031088073309575602,0.015544036654787801,0.0977720183273939,-0.4522279816726061,-0.4112176609432128,-0.38898967927060674,-0.38002591752672743,-0.39116582588975796,-0.4100518350534549,0.0,0.0,0.0,2.0,120350.0,540175.0,1080350.0,292.0,1.0,2017.0,2017.0,1.0,KIM,Real Estate,Large Cap,
946770,DEUTSCHE TELEKOM AG,0.06732794169733752,0.16502422825046045,0.2581502552983362,0.05481390839077462,0.02692251885895233,0.06726047482124403,-0.0034019246948808774,-0.011232061248753734,0.05842804291691886,0.0125140333065629,0.13810170939150812,0.19088978047709215,0.0707298663922184,0.17625628949921418,0.19972221238141732,0.6153846153846154,1.0,1.0,13.0,7824700.0,13941601.600000001,181240820.8,1.0,1.0,2018.0,2018.0,1.0,TMUS,Communication Services,Mega Cap,
947324,BATCHELDER DAVID H,0.22,0.3,0.26,0.17999999999999997,0.15,0.05999999999999999,0.11999999999999998,0.07,-0.029999999999999995,0.040000000000000036,0.15,0.2,0.10000000000000002,0.22999999999999998,0.29,1.0,1.0,1.0,2.0,249076.52,498382.82,996765.64,0.0,1.0,2021.0,2021.0,1.0,LOW,Consumer Discretionary,Large Cap,
949509,OAKTREE CAPITAL MANAGEMENT LP,0.33,0.28,0.34,0.41,0.63,0.87,0.09,0.13,0.23,-0.07999999999999996,-0.35,-0.53,0.24000000000000002,0.15000000000000002,0.11000000000000001,0.0,0.0,1.0,1.0,6180000.0,6180000.0,6180000.0,0.0,1.0,2020.0,2020.0,1.0,VST,Utilities,Large Cap,
1004554,FARRELL THOMAS F II,-0.13,-0.1,0.01,0.01,0.06,0.14,0.08,0.15,0.23,-0.14,-0.16,-0.13,-0.21000000000000002,-0.25,-0.22,0.0,0.0,0.0,1.0,253760.0,253760.0,253760.0,0.0,1.0,2018.0,2018.0,1.0,D,Utilities,Large Cap,
1005547,NEHRA JOHN M,0.2935299158377965,0.28695241009946443,0.598381637337414,0.1497175210405509,0.2400033664881408,0.3378142310635042,0.07717888293802602,0.13702769701606732,0.2031103289977047,0.14381239479724559,0.046949043611323626,0.2605674062739098,0.21635103289977045,0.1499247130833971,0.3952713083397093,1.0,0.75,1.0,4.0,83550.0,204218.75,816875.0,256.0,1.0,2020.0,2022.0,2.0,DVA,Health Care,Large Cap,
1005788,ROLLINS GARY W,0.6,0.75,0.73,0.04,0.0,0.09,0.02,-0.1,0.01,0.5599999999999999,0.75,0.64,0.58,0.85,0.72,1.0,1.0,1.0,1.0,99931.2,99931.2,99931.2,0.0,1.0,2017.0,2017.0,1.0,ROL,Industrials,Large Cap,
1006394,SCHULZE RICHARD M,-0.054910593590524415,-0.19132701150758988,-0.16132701150758988,-0.010000000000000002,0.04000000000000001,0.15000000000000002,-0.03,0.05,0.2,-0.04491059359052441,-0.23132701150758989,-0.3113270115075899,-0.024910593590524416,-0.2413270115075899,-0.3613270115075899,0.0,0.0,0.0,6.0,5064323.84,6633810.746666666,39802864.48,0.0,1.0,2022.0,2022.0,1.0,BBY,Consumer Discretionary,Large Cap,
1007190,GERARD STEVEN L,-0.24,-0.03,0.04,0.0,0.02,0.14,-0.01,-0.03,0.13,-0.24,-0.05,-0.1,-0.22999999999999998,0.0,-0.09,0.0,0.0,0.0,1.0,47950.0,47950.0,47950.0,0.0,1.0,2015.0,2015.0,1.0,LVS,Consumer Discretionary,Large Cap,
1007734,KIGHT PETER J,-0.2553228028198852,0.06932491645301833,-0.030704561454193036,0.09000000000000001,0.20000000000000004,0.24000000000000002,0.11000000000000001,0.39000000000000007,0.38000000000000006,-0.3453228028198852,-0.1306750835469817,-0.2707045614541931,-0.36532280281988516,-0.3206750835469817,-0.4107045614541931,0.0,0.0,0.0,6.0,2808.0,158762.96666666665,952577.7999999999,0.0,1.0,2016.0,2016.0,1.0,HBAN,Financials,Large Cap,
1008463,TAN LIP BU,-0.07698088919024576,0.05090639238379769,-0.13191417476591183,0.12017555285266943,0.07507891443163582,0.18708046321138427,0.2014781715688535,0.22987423415789981,0.3851440920722477,-0.1971564420429152,-0.02417252204783813,-0.3189946379772961,-0.27845906075909926,-0.17896784177410213,-0.5170582668381596,0.4,0.6,0.0,5.0,50966.46,1074022.308,5370111.54,92.0,1.0,2022.0,2023.0,2.0,INTC,Information Technology,Large Cap,
1008544,MCCARTHY MICHAEL R,-0.08,0.11,0.22,0.0,0.05,0.17,0.02,0.14,0.23,-0.08,0.06,0.04999999999999999,-0.1,-0.030000000000000013,-0.010000000000000009,0.0,1.0,0.0,1.0,3903000.0,3903000.0,3903000.0,0.0,1.0,2015.0,2015.0,1.0,UNP,Industrials,Large Cap,
1010178,TISCH JAMES S,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,0.052623546220507134,0.026558865551267845,0.10174903081367143,0.07218628851708928,-0.023878392152150013,0.05218628851708927,-1.0526235462205071,-1.0265588655512676,-1.1017490308136713,-1.0721862885170892,-0.9761216078478498,-1.0521862885170892,0.0,0.0,0.0,14.0,2247500.0,4012017.8571428573,56168250.0,7.0,1.0,2017.0,2017.0,1.0,GE,Industrials,Large Cap,
1010267,FLANAGAN MARTIN L,0.8825837157234797,1.1495693807127534,0.8279904433261824,0.10971292047516892,0.2798564602375845,0.23971292047516893,0.3297129204751689,0.5197129204751689,0.5195693807127534,0.7728707952483108,0.8697129204751689,0.5882775228510135,0.5528707952483107,0.6298564602375845,0.30842106261342905,1.0,1.0,1.0,2.0,43079.68,1500618.34,3001236.68,1.0,1.0,2020.0,2020.0,1.0,IVZ,Financials,Mid Cap,
