OWNER_CIK,OWNER_NAME,Weighted_SP500_6M,Weighted_SP500_1Y,Weighted_SP500_18M,Weighted_Sector_6M,Weighted_Sector_1Y,Weighted_Sector_18M,Return_vs_SP500_6M,Return_vs_SP500_1Y,Return_vs_SP500_18M,Return_vs_Sector_6M,Return_vs_Sector_1Y,Return_vs_Sector_18M,Min_Transaction_Value,Avg_Transaction_Value,Max_Transaction_Value,Transaction_Count,Unique_Transaction_Years,Earliest_Transaction_Year,Most_Recent_Transaction_Year,Avg_Days_Between_Transactions,Pct_Positive_vs_SP500_6M,Pct_Positive_vs_SP500_1Y,Pct_Positive_vs_SP500_18M,Pct_Positive_vs_Sector_6M,Pct_Positive_vs_Sector_1Y,Pct_Positive_vs_Sector_18M,Number_of_Companies,Most_Common_Company,Most_Active_Sector,Total_Transaction_Value,Bull_Market_Transactions,Bull_Market_Avg_Return_6M,Bull_Market_vs_SP500_6M,Bull_Market_vs_Sector_6M,Bull_Market_Win_Rate,Bear_Market_Transactions,Bear_Market_Avg_Return_6M,Bear_Market_vs_SP500_6M,Bear_Market_vs_Sector_6M,Bear_Market_Win_Rate,Market_Timing_Score,Most_Common_Company_Market_Cap,Most_Common_Company_Cap_Category,Pct_Mega_Cap_Trades,Pct_Large_Cap_Trades,Pct_Mid_Cap_Trades,Pct_Small_Cap_Trades,Pct_Micro_Cap_Trades,Preferred_Cap_Category,Avg_Market_Cap,Median_Market_Cap
67088,MITSUBISHI UFJ FINANCIAL GROUP INC,22%,21%,21%,3%,3%,3%,-22%,-21%,-21%,-3%,-3%,-3%,0,33680.64655,280000,63,8,2013,2020,-31.5,8%,5%,3%,16%,27%,17%,1,MS,Financials,1944.88,0,0,0,0,0,0,0,0,0,0,0,212029000000,Mega Cap,100,0,0,0,0,Mega Cap,2.12029E+11,2.12029E+11
225602,MASSACHUSETTS MUTUAL LIFE INSURANCE CO,39%,41%,45%,6%,6%,6%,-39%,-41%,-45%,-6%,-6%,-6%,198269.3,15020427.64,25707775.45,7,2,2021,2022,37.5,71%,71%,14%,71%,71%,71%,1,IVZ,Financials,135.27,0,0,0,0,0,0,0,0,0,0,0,8130369536,Mid Cap,0,0,100,0,0,Mid Cap,8130369536,8130369536
314943,NATIONAL INDEMNITY CO,23%,25%,27%,5%,5%,5%,-23%,-25%,-27%,-5%,-5%,-5%,202434.4,15188121.11,43351102.36,19,1,2016,2016,5.6,0%,0%,0%,5%,100%,58%,1,PSX,Energy,1496.33,0,0,0,0,0,0,0,0,0,0,0,55332261888,Large Cap,0,100,0,0,0,Large Cap,55332261888,55332261888
315027,SAROFIM FAYEZ,22%,24%,25%,5%,5%,5%,-22%,-24%,-25%,-5%,-5%,-5%,3552000,7171571.429,14987000,7,4,2014,2019,-69.2,57%,0%,0%,71%,71%,14%,1,KMI,Energy,215.24,0,0,0,0,0,0,0,0,0,0,0,62805762048,Large Cap,0,100,0,0,0,Large Cap,62805762048,62805762048
315066,FMR LLC,21%,21%,21%,5%,5%,5%,-21%,-21%,-21%,-5%,-5%,-5%,1277982.72,1277982.72,1277982.72,1,1,2014,2014,0.0,0%,0%,0%,0%,0%,0%,1,GNRC,Industrials,47.04,0,0,0,0,0,0,0,0,0,0,0,11328284672,Large Cap,0,100,0,0,0,Large Cap,11328284672,11328284672
315090,BUFFETT WARREN E,39%,42%,45%,6%,7%,7%,-39%,-42%,-45%,-6%,-7%,-7%,7751,64159357.06,563953705.4,273,8,2014,2024,-10.9,23%,15%,1%,8%,13%,4%,6,OXY,Energy,17180.73,0,0,0,0,0,0,0,0,0,0,0,47461388288,Large Cap,4.761904762,95.23809524,0,0,0,Large Cap,63709416949,47461388288
900596,FRIST THOMAS F JR,31%,32%,33%,12%,12%,12%,-31%,-32%,-33%,-12%,-12%,-12%,147665.7,3698519.409,13855990,14,3,2017,2022,-140.3,50%,50%,0%,0%,0%,50%,1,HCA,Health Care,2087.86,0,0,0,0,0,0,0,0,0,0,0,82883837952,Large Cap,0,100,0,0,0,Large Cap,82883837952,82883837952
901430,ABELE JOHN E,19%,22%,23%,8%,9%,8%,-19%,-22%,-23%,-8%,-9%,-8%,1653000,1720200,1757000,5,1,2015,2015,1.0,100%,0%,0%,100%,60%,80%,1,BSX,Health Care,86.01,0,0,0,0,0,0,0,0,0,0,0,133750000000,Large Cap,0,100,0,0,0,Large Cap,1.3375E+11,1.3375E+11
901737,SCHULTZ HOWARD D,38%,41%,44%,11%,12%,13%,-38%,-41%,-44%,-11%,-12%,-13%,1235390,4994593.667,8756766,3,1,2022,2022,1.0,100%,0%,0%,100%,67%,0%,1,SBUX,Consumer Discretionary,214.56,0,0,0,0,0,0,0,0,0,0,0,116169000000,Large Cap,0,100,0,0,0,Large Cap,1.16169E+11,1.16169E+11
901999,ELLISON LAWRENCE JOSEPH,34%,39%,45%,12%,14%,14%,-34%,-39%,-45%,-12%,-14%,-14%,958750,958750,958750,1,1,2020,2020,0.0,0%,0%,0%,0%,0%,0%,1,TSLA,Consumer Discretionary,3.00E-31,0,0,0,0,0,0,0,0,0,0,0,1107980000000,Mega Cap,100,0,0,0,0,Mega Cap,1.10798E+12,1.10798E+12
902012,GATES WILLIAM H III,26%,26%,27%,5%,5%,5%,-26%,-26%,-27%,-5%,-5%,-5%,7830,11208268.8,78536070.75,116,7,2014,2022,-25.0,31%,16%,3%,19%,17%,16%,2,RSG,Industrials,10225.83,0,0,0,0,0,0,0,0,0,0,0,68361080832,Large Cap,0,100,0,0,0,Large Cap,69096650646,68361080832
902132,STARKS DANIEL J,29%,28%,29%,11%,11%,10%,-29%,-28%,-29%,-11%,-11%,-10%,848.54,70825.65767,491751,60,1,2018,2018,0.0,0%,0%,0%,0%,0%,0%,1,ABT,Health Care,3642.96,0,0,0,0,0,0,0,0,0,0,0,206313000000,Mega Cap,100,0,0,0,0,Mega Cap,2.06313E+11,2.06313E+11
903649,DECHERD ROBERT W,32%,35%,33%,6%,6%,7%,-32%,-35%,-33%,-6%,-6%,-7%,183315,252151.25,398010,4,4,2016,2020,306.3,0%,0%,0%,0%,25%,50%,1,KMB,Consumer Staples,468.52,0,0,0,0,0,0,0,0,0,0,0,46471135232,Large Cap,0,100,0,0,0,Large Cap,46471135232,46471135232
904396,WYNN STEPHEN A,21%,22%,24%,6%,7%,7%,-21%,-22%,-24%,-6%,-7%,-7%,374638.36,5538362.355,20682662.4,20,2,2015,2016,3.5,0%,0%,0%,25%,0%,0%,1,WYNN,Consumer Discretionary,1174.15,0,0,0,0,0,0,0,0,0,0,0,10364339200,Large Cap,0,100,0,0,0,Large Cap,10364339200,10364339200
904858,STANTON JOHN W,21%,22%,24%,5%,5%,6%,-21%,-22%,-24%,-5%,-5%,-6%,1554000,1554000,1554000,1,1,2015,2015,0.0,100%,0%,0%,0%,0%,0%,1,COST,Consumer Staples,155.4,0,0,0,0,0,0,0,0,0,0,0,430615000000,Mega Cap,100,0,0,0,0,Mega Cap,4.30615E+11,4.30615E+11
905129,NEUBAUER JOSEPH,21%,19%,22%,5%,5%,6%,-21%,-19%,-22%,-5%,-5%,-6%,927250,927250,927250,1,1,2015,2015,0.0,100%,100%,0%,0%,0%,0%,1,MDLZ,Consumer Staples,37.09,0,0,0,0,0,0,0,0,0,0,0,86997917696,Large Cap,0,100,0,0,0,Large Cap,86997917696,86997917696
905437,YOUNG WALTER R JR,21%,22%,24%,3%,2%,3%,-21%,-22%,-24%,-3%,-2%,-3%,28876.8,28876.8,28876.8,1,1,2015,2015,0.0,0%,0%,0%,0%,0%,0%,1,NRG,Utilities,9.6,0,0,0,0,0,0,0,0,0,0,0,20582731776,Large Cap,0,100,0,0,0,Large Cap,20582731776,20582731776
905631,JONES DAVID A /WI,20%,21%,19%,5%,5%,4%,-20%,-21%,-19%,-5%,-5%,-4%,142054,142054,142054,1,1,2014,2014,0.0,0%,0%,0%,0%,0%,0%,1,PNR,Industrials,7.19E-07,0,0,0,0,0,0,0,0,0,0,0,18008526848,Large Cap,0,100,0,0,0,Large Cap,18008526848,18008526848
908551,HERSHEY TRUST CO,23%,24%,25%,6%,5%,6%,-23%,-24%,-25%,-6%,-5%,-6%,5000020,8651673.333,15925800,3,3,2015,2018,180.0,0%,0%,0%,0%,0%,33%,1,HSY,Consumer Staples,291.42,0,0,0,0,0,0,0,0,0,0,0,35227938816,Large Cap,0,100,0,0,0,Large Cap,35227938816,35227938816
908724,DELL MICHAEL S,34%,39%,44%,20%,23%,27%,-34%,-39%,-44%,-20%,-23%,-27%,22576.79,2019516.416,6371717.98,13,1,2020,2020,0.2,0%,0%,0%,0%,0%,0%,1,DELL,Information Technology,0.0598003,0,0,0,0,0,0,0,0,0,0,0,87314300928,Large Cap,0,100,0,0,0,Large Cap,87314300928,87314300928
909019,SMITH WILLIAM G JR,21%,21%,21%,2%,3%,2%,-21%,-21%,-21%,-2%,-3%,-2%,4430,4430,4430,1,1,2015,2015,0.0,0%,100%,0%,0%,0%,0%,1,SO,Utilities,44.3,0,0,0,0,0,0,0,0,0,0,0,98326429696,Large Cap,0,100,0,0,0,Large Cap,98326429696,98326429696
913264,NATIONAL AMUSEMENTS INC /MD/,40%,42%,45%,2%,2%,2%,-40%,-42%,-45%,-2%,-2%,-2%,20935750.68,20935750.68,20935750.68,1,1,2022,2022,0.0,100%,0%,0%,100%,0%,0%,1,PARA,Communication Services,32.37,0,0,0,0,0,0,0,0,0,0,0,7678675456,Mid Cap,0,0,100,0,0,Mid Cap,7678675456,7678675456
914545,NEWHOUSE BROADCASTING CORP,54%,59%,59%,3%,3%,3%,-54%,-59%,-59%,-3%,-3%,-3%,124900000,124900000,124900000,1,1,2023,2023,0.0,0%,0%,0%,0%,0%,0%,1,WBD,Communication Services,12.49,0,0,0,0,0,0,0,0,0,0,0,25709219840,Large Cap,0,100,0,0,0,Large Cap,25709219840,25709219840
914546,"ADVANCE PUBLICATIONS, INC",54%,59%,59%,3%,3%,3%,-54%,-59%,-59%,-3%,-3%,-3%,124900000,124900000,124900000,1,1,2023,2023,0.0,0%,0%,0%,0%,0%,0%,1,WBD,Communication Services,12.49,0,0,0,0,0,0,0,0,0,0,0,25709219840,Large Cap,0,100,0,0,0,Large Cap,25709219840,25709219840
916371,HASSENFELD ALAN G,20%,21%,20%,7%,7%,7%,-20%,-21%,-20%,-7%,-7%,-7%,32087,32087,32087,1,1,2014,2014,0.0,0%,0%,0%,0%,0%,0%,1,CRM,Information Technology,58.34,0,0,0,0,0,0,0,0,0,0,0,315490000000,Mega Cap,100,0,0,0,0,Mega Cap,3.1549E+11,3.1549E+11
916867,SPOGLI RONALD P,28%,28%,27%,2%,2%,2%,-28%,-28%,-27%,-2%,-2%,-2%,401180,401180,401180,1,1,2017,2017,0.0,0%,0%,0%,100%,0%,0%,1,PSA,Real Estate,200.59,0,0,0,0,0,0,0,0,0,0,0,61526188032,Large Cap,0,100,0,0,0,Large Cap,61526188032,61526188032
