OWNER_CIK,OWNER_NAME,Weighted_Return_6M,Weighted_Return_1Y,Weighted_Return_18M,Weighted_SP500_6M,Weighted_SP500_1Y,Weighted_SP500_18M,Weighted_Sector_6M,Weighted_Sector_1Y,Weighted_Sector_18M,Return_vs_SP500_6M,Return_vs_SP500_1Y,Return_vs_SP500_18M,Return_vs_Sector_6M,Return_vs_Sector_1Y,Return_vs_Sector_18M,Avg_Transaction_Value,Total_Transaction_Value,Transaction_Count,Number_of_Companies,Most_Common_Company,Most_Active_Sector,Most_Common_Company_Cap_Category,Earliest_Transaction_Year,Most_Recent_Transaction_Year,Unique_Transaction_Years
67088,MITSUBISHI UFJ FINANCIAL GROUP INC,20.05,18.17,13.95,0.08,0.06,0.09,0.07,0.02,0.00,19.98,18.10,13.87,19.99,18.15,13.96,20124.93683,825122.41,41,1,MS,Financials,Mega Cap,2014,2020,7
225602,MASSACHUSETTS MUTUAL LIFE INSURANCE CO,-0.15,-0.14,-0.19,-0.04,0.00,0.11,-0.04,0.00,0.01,-0.11,-0.14,-0.30,-0.11,-0.13,-0.20,15020427.64,105142993.5,7,1,IVZ,Financials,Mid Cap,2021,2022,2
314943,NATIONAL INDEMNITY CO,-0.23,-0.22,-0.08,0.08,0.15,0.26,0.06,-0.05,0.00,-0.31,-0.38,-0.34,-0.29,-0.18,-0.07,15188121.11,288574301.1,19,1,PSX,Energy,Large Cap,2016,2016,1
315027,SAROFIM FAYEZ,-0.56,-0.52,-0.51,-0.02,0.11,0.16,-0.16,-0.06,0.03,-0.54,-0.63,-0.67,-0.40,-0.46,-0.54,7334600,36673000,5,1,KMI,Energy,Large Cap,2015,2019,3
315090,BUFFETT WARREN E,0.09,0.06,0.11,0.03,0.09,0.16,0.13,0.18,0.21,0.06,-0.03,-0.06,-0.04,-0.12,-0.10,65903070.41,17002992166,258,6,OXY,Energy,Large Cap,2014,2024,8
900596,FRIST THOMAS F JR,-0.06,0.20,0.34,0.03,0.06,0.09,0.06,0.06,0.10,-0.09,0.14,0.25,-0.12,0.14,0.24,3698519.409,51779271.72,14,1,HCA,Health Care,Large Cap,2017,2022,3
901430,ABELE JOHN E,0.00,0.40,0.48,-0.08,0.06,0.14,-0.12,0.00,-0.01,0.08,0.33,0.34,0.12,0.40,0.49,1720200,8601000,5,1,BSX,Health Care,Large Cap,2015,2015,1
901737,SCHULTZ HOWARD D,0.25,0.43,0.41,-0.04,0.04,0.11,-0.09,0.00,0.10,0.29,0.40,0.30,0.34,0.44,0.31,4994593.667,14983781,3,1,SBUX,Consumer Discretionary,Large Cap,2022,2022,1
901999,ELLISON LAWRENCE JOSEPH,360000000000000000000000000000000.00,907000000000000000000000000000000.00,797000000000000000000000000000000.00,0.00,0.16,0.32,0.14,0.31,0.39,360000000000000000000000000000000.00,907000000000000000000000000000000.00,797000000000000000000000000000000.00,360000000000000000000000000000000.00,907000000000000000000000000000000.00,797000000000000000000000000000000.00,958750,958750,1,1,TSLA,Consumer Discretionary,Mega Cap,2020,2020,1
902012,GATES WILLIAM H III,0.05,0.12,0.30,0.03,0.01,0.09,0.01,-0.01,0.03,0.02,0.11,0.21,0.04,0.13,0.27,11017058.33,638989383.1,58,2,ECL,Materials,Large Cap,2014,2022,7
902132,STARKS DANIEL J,-0.02,0.15,0.25,0.06,0.02,0.05,0.08,0.07,0.05,-0.08,0.13,0.20,-0.10,0.08,0.20,70825.65767,4249539.46,60,1,ABT,Health Care,Mega Cap,2018,2018,1
903649,DECHERD ROBERT W,-0.16,-0.13,-0.09,0.16,0.25,0.20,0.08,0.09,0.13,-0.32,-0.38,-0.29,-0.24,-0.22,-0.22,252151.25,1008605,4,1,KMB,Consumer Staples,Large Cap,2016,2020,4
904396,WYNN STEPHEN A,0.46,0.47,1.02,0.08,0.14,0.24,0.05,0.10,0.20,0.38,0.33,0.78,0.41,0.38,0.82,5538362.354,110767247.1,20,1,WYNN,Consumer Discretionary,Large Cap,2015,2016,2
904858,STANTON JOHN W,-0.19,-0.19,-0.01,-0.01,0.04,0.15,0.09,0.06,0.12,-0.18,-0.23,-0.16,-0.28,-0.25,-0.13,1554000,1554000,1,1,COST,Consumer Staples,Mega Cap,2015,2015,1
905129,NEUBAUER JOSEPH,0.03,-0.15,-0.03,-0.01,-0.11,0.04,0.01,0.01,0.11,0.04,-0.04,-0.07,0.02,-0.16,-0.14,927250,927250,1,1,MDLZ,Consumer Staples,Large Cap,2015,2015,1
905437,YOUNG WALTER R JR,0.55,0.04,0.43,0.02,0.09,0.18,0.18,0.11,0.27,0.53,-0.05,0.25,0.37,-0.07,0.16,28876.8,28876.8,1,1,NRG,Utilities,Large Cap,2015,2015,1
