Symbol,Date,Split Ratio
CAG,11/10/2016,1.285
OXY,12/1/2014,1.042
OXY,2/25/2016,1.001702895
CHD,9/2/2016,2
CHD,9/2/2016,2
CHD,9/2/2016,2
CHD,9/2/2016,2
CHD,9/2/2016,2
CHD,9/2/2016,2
V,3/19/2015,4
GE,2/26/2019,1.04
GE,8/2/2021,0.125
GE,1/4/2023,1.281
GE,4/2/2024,1.253
OXY,12/1/2014,1.042
OXY,2/25/2016,1.001702895
IDXX,6/16/2015,2
SPG,5/29/2014,1.063
SPG,5/29/2014,1.063
MKC,12/1/2020,2
FAST,5/23/2019,2
FAST,5/23/2019,2
FAST,5/23/2019,2
FAST,5/23/2019,2
FAST,5/23/2019,2
FAST,5/23/2019,2
GE,2/26/2019,1.04
GE,8/2/2021,0.125
GE,1/4/2023,1.281
GE,4/2/2024,1.253
GE,2/26/2019,1.04
GE,8/2/2021,0.125
GE,1/4/2023,1.281
GE,4/2/2024,1.253
GE,2/26/2019,1.04
GE,8/2/2021,0.125
GE,1/4/2023,1.281
GE,4/2/2024,1.253
GE,2/26/2019,1.04
GE,8/2/2021,0.125
GE,1/4/2023,1.281
GE,4/2/2024,1.253
GE,2/26/2019,1.04
GE,8/2/2021,0.125
GE,1/4/2023,1.281
GE,4/2/2024,1.253
FAST,5/23/2019,2
TJX,11/7/2018,2
EQT,11/13/2018,1.837
EQT,11/13/2018,1.837
SRE,8/22/2023,2
DOC,11/1/2016,1.098
FI,3/20/2018,2
DOC,11/1/2016,1.098
DOC,11/1/2016,1.098
ODFL,3/25/2020,1.5
ODFL,3/28/2024,2
DOC,11/1/2016,1.098
DOC,11/1/2016,1.098
FI,3/20/2018,2
FI,3/20/2018,2
FI,3/20/2018,2
FI,3/20/2018,2
FI,3/20/2018,2
FI,3/20/2018,2
FI,3/20/2018,2
FI,3/20/2018,2
FI,3/20/2018,2
BWA,7/5/2023,1.136
BWA,7/5/2023,1.136
BWA,7/5/2023,1.136
OXY,12/1/2014,1.042
OXY,2/25/2016,1.001702895
FI,3/20/2018,2
FI,3/20/2018,2
FI,3/20/2018,2
MAS,7/1/2015,1.138
YUM,11/1/2016,1.391
HSIC,9/15/2017,2
HSIC,2/8/2019,1.275
SPG,5/29/2014,1.063
CMG,6/26/2024,50
CMG,6/26/2024,50
ROST,6/12/2015,2
ROST,6/12/2015,2
ROST,6/12/2015,2
ROST,6/12/2015,2
ROST,6/12/2015,2
EQT,11/13/2018,1.837
NKE,12/24/2015,2
CPRT,4/11/2017,2
